"node","M","N","kingdom","phylum","class","order","family","genus","species"
"Nostoc sp.",0.000000000000797,2000000,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Nostoc",""
"Arthrodesmus sp.",0.00000000000152,49000000,"Plantae","Charophyta","Zygnematophyceae","Desmidiales","Desmidiaceae","Arthrodesmus",""
"Asterionella formosa",0.00000000000112,5000000,"Chromista","Ochrophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Asterionella","formosa"
"Cryptomonas sp. 1",0.000000000000203,64000000,"Chromista","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae","Cryptomonas",""
"Cryptomonas sp. 2",0.00000000000151,28000000,"Chromista","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae","Cryptomonas",""
"Chroococcus dispersus",0.000000000000239,20000000,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Chroococcaceae","Chroococcus","dispersus"
"Closteriopsis longissimus",0.000000000000237,100000000,"Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Closteriopsis","longissimus"
"Chrysosphaerella longispina",0.000000000831,4000000,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Paraphysomonadaceae","Chrysosphaerella","longispina"
"Dinobryon bavaricum",0.00000000000244,30000000,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae","Dinobryon","bavaricum"
"Dinobryon cylindricum",0.00000000000157,3000000,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae","Dinobryon","cylindricum"
"Dactylococcopsis fascicularis",0.000000000000132,46000000,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Chroococcaceae","Dactylococcopsis","fascicularis"
"Diceras sp.",0.000000000000153,14000000,"Chromista","Ochrophyta","Chrysophyceae","Hibberdiales","Stylococcaceae","Diceras",""
"Dictyosphaerium pulchellum",0.000000000000507,13000000,"Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Dictyosphaerium","pulchellum"
"Dinobryon sertularia",0.0000000000152,2000000,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae","Dinobryon","sertularia"
"Dinobryon sociale",0.000000000000641,28000000,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae","Dinobryon","sociale"
"Glenodinium quadridens",0.00000000000754,67000000,"Protozoa","Myzozoa","Dinophyceae","Peridiniales","Peridiniaceae","Glenodinium","quadridens"
"Microcystis aeruginosa",0.0000000000162,13000000,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae","Microcystis","aeruginosa"
"Mallomonas sp. 1",0.00000000000103,19000000,"Chromista","Ochrophyta","Synurophyceae","Synurales","Mallomonadaceae","Mallomonas",""
"Mallomonas sp. 2",0.00000000000141,22700000,"Chromista","Ochrophyta","Synurophyceae","Synurales","Mallomonadaceae","Mallomonas",""
"Unclassified flagellates",0.000000000000346,1880000000,"","","","","","",""
"Peridinium limbatum",0.0000000000646,17000000,"Protozoa","Myzozoa","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","limbatum"
"Peridinium cinctum",0.0000000000406,8000000,"Protozoa","Myzozoa","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","cinctum"
"Peridinium pulsillum",0.00000000000158,123000000,"Protozoa","Myzozoa","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","pulsillum"
"Peridinium wisconsinense",0.0000000000356,14000000,"Protozoa","Myzozoa","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","wisconsinense"
"Chromulina sp.",0.0000000000000303,149000000,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Chromulinaceae","Chromulina",""
"Rhizosolenia sp.",0.000000000000686,56000000,"Chromista","Ochrophyta","Bacillariophyceae","Rhizosoleniales","Rhizosoleniaceae","Rhizosolenia",""
"Selenastrum minutum",0.000000000000272,200000000,"Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Selenastrum","minutum"
"Spinocosmarium sp.",0.00000000000371,2000000,"Plantae","Charophyta","Zygnematophyceae","Desmidiales","Desmidiaceae","Spinocosmarium",""
"Staurastrum sp.",0.0000000000043,9000000,"Plantae","Charophyta","Zygnematophyceae","Desmidiales","Desmidiaceae","Staurastrum",""
"Synedra sp.",0.0000000000919,1000000,"Chromista","Ochrophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Synedra",""
"Trachelomonas sp.",0.000000000000175,222000000,"Protozoa","Euglenozoa","Euglenophyceae","Euglenales","Euglenaceae","Trachelomonas",""
"Ascomorpha eucadis",0.00000000014,13800,"Animalia","Rotifera","Monogonata","Ploima","Gastropodidae","Ascomorpha","eucadis"
"Synchaeta sp.",0.00000000095,30000,"Animalia","Rotifera","Monogonata","Ploima","Synchaetidae","Synchaeta",""
"Bosmina longirostris",0.00000000155,155000,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Bosminidae","Bosmina","longirostris"
"Conochilus (solitary)",0.000000000035,36000,"Animalia","Rotifera","Monogonata","Flosculariaceae","Conochilidae","Conochilus",""
"Cyclops varians rubellus",0.0000000204,7800,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Cyclops","varians"
"Diaphanosoma leuchtenbergianum",0.00000000224,14400,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Sididae","Diaphanosoma","leuchtenbergianum"
"Daphnia pulex",0.000000058,1800,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae","Daphnia","pulex"
"Filinia longispina",0.00000000018,2400,"Animalia","Rotifera","Monogonata","Flosculariaceae","Filiniidae","Filinia","longispina"
"Conochiloides dossuarius",0.00000000016,235000,"Animalia","Rotifera","Monogonata","Flosculariaceae","Conochilidae","Conochiloides","dossuarius"
"Gastropus stylifer",0.000000000135,35400,"Animalia","Rotifera","Monogonata","Ploima","Gastropodidae","Gastropus","stylifer"
"Holopedium gibberum",0.0000000875,600,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Holopediidae","Holopedium","gibberum"
"Kellicottia sp.",0.00000000002,256000,"Animalia","Rotifera","Monogonata","Ploima","Brachionidae","Kellicottia",""
"Keratella cochlearis",0.00000000001,427000,"Animalia","Rotifera","Monogonata","Ploima","Brachionidae","Keratella","cochlearis"
"Keratella testudo",0.00000000001,6000,"Animalia","Rotifera","Monogonata","Ploima","Brachionidae","Keratella","testudo"
"Leptodiaptomus siciloides",0.0000000088,2400,"Animalia","Arthropoda","Maxillopoda","Calanoida","Diaptomidae","Leptodiaptomus","siciloides"
"Orthocyclops modestus",0.0000000229,22800,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Orthocyclops","modestus"
"Ploesoma sp.",0.000000000105,55800,"Animalia","Rotifera","Monogonata","Ploima","Synchaetidae","Ploesoma",""
"Polyarthra vulgaris",0.000000000465,376000,"Animalia","Rotifera","Monogonata","Ploima","Synchaetidae","Polyarthra","vulgaris"
"Trichocerca multicrinis",0.00000000025,46800,"Animalia","Rotifera","Monogonata","Ploima","Trichocercidae","Trichocerca","multicrinis"
"Trichocerca cylindrica",0.00000000038,81600,"Animalia","Rotifera","Monogonata","Ploima","Trichocercidae","Trichocerca","cylindrica"
"Tropocyclops prasinus",0.00000000685,49200,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Tropocyclops","prasinus"
"Chaoborus punctipennis",0.0000003,12000,"Animalia","Arthropoda","Insecta","Diptera","Chaoboridae","Chaoborus","punctipennis"
"Phoxinus eos",0.00101,1.97,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Phoxinus","eos"
"Phoxinus neogaeus",0.00117,0.133,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Phoxinus","neogaeus"
"Umbra limi",0.00129,0.132,"Animalia","Chordata","Actinopterygii","Esociformes","Umbridae","Umbra","limi"
